_id,ilce_adi,mahalle_adi,mahalle_uavt,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi
1,ADALAR,BURGAZADA,40139,433,214,173,802,18,0
2,ADALAR,HEYBELÝADA,40142,836,347,212,1359,36,0
3,ADALAR,KINALIADA,40143,610,244,158,923,89,0
4,ADALAR,MADEN,40140,863,510,308,1637,44,0
5,ADALAR,NÝZAM,40141,842,426,217,1434,51,0
6,ARNAVUTKÖY,ADNAN MENDERES,40490,0,244,121,353,12,0
7,ARNAVUTKÖY,ANADOLU,99359,0,1360,845,1647,555,3
8,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,40478,0,685,589,797,470,7
9,ARNAVUTKÖY,ATATÜRK,40482,0,565,216,754,27,0
10,ARNAVUTKÖY,BAKLALI,191981,0,332,184,515,1,0
11,ARNAVUTKÖY,BALABAN,191983,0,242,53,295,0,0
12,ARNAVUTKÖY,BOÐAZKÖY ÝSTÝKLAL,40483,90,864,540,1452,42,0
13,ARNAVUTKÖY,BOLLUCA,40487,0,578,185,716,47,0
14,ARNAVUTKÖY,BOYALIK,191985,0,313,205,514,4,0
15,ARNAVUTKÖY,ÇÝLÝNGÝR,40494,0,315,176,485,6,0
16,ARNAVUTKÖY,DELÝKLÝKAYA,40910,0,291,279,478,36,56
17,ARNAVUTKÖY,DURSUNKÖY,40911,0,204,72,276,0,0
18,ARNAVUTKÖY,DURUSU,40915,0,208,43,251,0,0
19,ARNAVUTKÖY,FATÝH,40495,0,219,198,406,11,0
20,ARNAVUTKÖY,HACIMAÞLI,191975,1,137,107,244,1,0
21,ARNAVUTKÖY,HADIMKÖY,40913,0,418,793,909,229,73
22,ARNAVUTKÖY,HARAÇÇI,40489,0,813,622,1356,79,0
23,ARNAVUTKÖY,HASTANE,40912,0,434,391,578,237,10
24,ARNAVUTKÖY,HÝCRET,40486,0,221,113,323,11,0
25,ARNAVUTKÖY,ÝMRAHOR,40481,0,1141,471,1585,27,0
26,ARNAVUTKÖY,ÝSLAMBEY,40479,0,1184,481,1452,204,9
27,ARNAVUTKÖY,KARABURUN,191987,0,404,710,1110,4,0
28,ARNAVUTKÖY,KARLIBAYIR,40488,0,669,465,944,183,7
29,ARNAVUTKÖY,MAREÞAL FEVZÝ ÇAKMAK,40493,0,458,450,881,27,0
30,ARNAVUTKÖY,MAVÝGÖL,40485,0,420,520,907,33,0
31,ARNAVUTKÖY,MEHMET AKÝF ERSOY,40491,0,255,218,465,8,0
32,ARNAVUTKÖY,MUSTAFA KEMAL PAÞA,99358,0,707,273,843,137,0
33,ARNAVUTKÖY,NENEHATUN,99357,0,561,223,707,77,0
34,ARNAVUTKÖY,ÖMERLÝ,40906,0,273,329,477,83,42
35,ARNAVUTKÖY,SAZLIBOSNA,40907,0,338,55,393,0,0
36,ARNAVUTKÖY,TAÞOLUK,40492,0,607,179,750,36,0
37,ARNAVUTKÖY,TAYAKADIN,191977,0,817,487,1301,3,0
38,ARNAVUTKÖY,TERKOS,40914,0,428,132,560,0,0
39,ARNAVUTKÖY,YASSIÖREN,191989,0,0,342,316,24,2
40,ARNAVUTKÖY,YAVUZ SELÝM,40480,0,968,204,1113,58,1
41,ARNAVUTKÖY,YENÝKÖY,191979,0,190,836,1026,0,0
42,ARNAVUTKÖY,YEÞÝLBAYIR,40908,0,172,208,357,23,0
43,ARNAVUTKÖY,YUNUS EMRE,40484,5,1168,327,1421,78,1
44,ATAÞEHÝR,AÞIKVEYSEL,98687,792,181,199,886,266,20
45,ATAÞEHÝR,ATATÜRK,99749,49,386,416,455,234,162
46,ATAÞEHÝR,BARBAROS,40527,571,725,596,1585,205,102
47,ATAÞEHÝR,ESATPAÞA,40793,997,396,733,1474,597,55
48,ATAÞEHÝR,FERHATPAÞA,40577,4,845,1135,1370,599,15
49,ATAÞEHÝR,FETIH,40795,55,339,160,265,262,27
50,ATAÞEHÝR,ÝÇERENKÖY,40530,1610,1809,1203,2950,1302,370
51,ATAÞEHÝR,ÝNÖNÜ,40534,89,445,887,504,898,19
52,ATAÞEHÝR,KAYIÞDAÐI,40533,311,1394,1273,2245,723,10
53,ATAÞEHÝR,KÜÇÜKBAKKALKÖY,40531,478,292,957,850,611,266
54,ATAÞEHÝR,MEVLANA,99516,32,723,135,617,221,52
55,ATAÞEHÝR,MÝMAR SÝNAN,99519,51,722,135,771,135,2
56,ATAÞEHÝR,MUSTAFA KEMAL,40740,914,374,164,1170,282,0
57,ATAÞEHÝR,ÖRNEK,40816,760,367,732,1166,667,26
58,ATAÞEHÝR,YENÝ ÇAMLICA,40746,184,793,350,1192,109,26
59,ATAÞEHÝR,YENÝSAHRA,40526,782,378,264,1216,207,1
60,ATAÞEHÝR,YENÝÞEHÝR,99517,56,128,212,58,225,113
61,AVCILAR,AMBARLI,40146,354,941,323,561,1009,48
62,AVCILAR,CÝHANGÝR,40148,282,1376,1391,1324,1694,31
63,AVCILAR,DENÝZKÖÞKLER,40147,379,1370,402,725,1387,39
64,AVCILAR,FÝRUZKÖY,40152,586,1598,927,2703,397,11
65,AVCILAR,GÜMÜÞPALA,40151,303,1111,475,617,1253,19
66,AVCILAR,MERKEZ,40145,371,552,185,189,848,71
67,AVCILAR,MUSTAFA KEMALPAÞA,40150,258,973,717,498,1443,7
68,AVCILAR,TAHTAKALE,40154,4,1549,958,1956,339,216
69,AVCILAR,ÜNÝVERSÝTE,40149,59,574,626,578,655,26
70,AVCILAR,YEÞÝLKENT,40153,0,4243,3875,7362,735,21
71,BAÐCILAR,100. YIL,40176,195,2175,436,1233,1555,18
72,BAÐCILAR,BAÐLAR,40155,239,677,356,771,462,39
73,BAÐCILAR,BARBAROS,40157,298,487,359,364,776,4
74,BAÐCILAR,ÇINAR,40163,469,1045,228,424,1304,14
75,BAÐCILAR,DEMÝRKAPI,40171,250,1835,504,987,1554,48
76,BAÐCILAR,EVREN,40169,229,2099,832,1291,1840,29
77,BAÐCILAR,FATÝH,40172,214,1996,288,975,1520,3
78,BAÐCILAR,FEVZÝ ÇAKMAK,40173,333,1044,370,576,1142,29
79,BAÐCILAR,GÖZTEPE,40175,135,1714,257,1085,989,32
80,BAÐCILAR,GÜNEÞLÝ,40168,213,1642,555,852,1503,55
81,BAÐCILAR,HÜRRÝYET,40156,449,644,391,602,856,26
82,BAÐCILAR,ÝNÖNÜ,40159,320,825,217,564,793,5
83,BAÐCILAR,KAZIM KARABEKÝR,40158,352,749,432,539,992,2
84,BAÐCILAR,KEMALPAÞA,40174,259,1457,267,843,1138,2
85,BAÐCILAR,KÝRAZLI,40166,263,1572,457,925,1333,34
86,BAÐCILAR,MAHMUTBEY,40170,266,3585,434,3428,802,55
87,BAÐCILAR,MERKEZ,40162,180,621,243,305,722,17
88,BAÐCILAR,SANCAKTEPE,40164,229,657,170,363,688,5
89,BAÐCILAR,YAVUZ SELÝM,40165,239,901,311,536,897,18
90,BAÐCILAR,YENÝGÜN,40161,246,519,112,169,707,1
91,BAÐCILAR,YENÝMAHALLE,40167,137,1236,247,619,953,48
92,BAÐCILAR,YILDIZTEPE,40160,557,1066,355,697,1260,21
93,BAHÇELÝEVLER,BAHÇELÝEVLER,40177,728,878,359,835,1014,116
94,BAHÇELÝEVLER,CUMHURÝYET,40181,196,1136,271,310,1285,8
95,BAHÇELÝEVLER,ÇOBANÇEÞME,40184,108,1539,230,649,1216,12
96,BAHÇELÝEVLER,FEVZÝ ÇAKMAK,40185,145,881,78,184,917,3
97,BAHÇELÝEVLER,HÜRRÝYET,40187,107,1491,129,185,1517,25
98,BAHÇELÝEVLER,KOCASÝNAN MERKEZ,40182,152,1623,848,815,1785,23
99,BAHÇELÝEVLER,SÝYAVUÞPAÞA,40179,793,1308,58,111,2034,14
100,BAHÇELÝEVLER,SOÐANLI,40180,476,1745,166,143,2234,10
101,BAHÇELÝEVLER,ÞÝRÝNEVLER,40178,577,1434,230,299,1910,32
102,BAHÇELÝEVLER,YENÝBOSNA MERKEZ,40183,365,1263,567,1234,897,64
103,BAHÇELÝEVLER,ZAFER,40186,245,2185,965,599,2789,7
104,BAKIRKÖY,ATAKÖY 1. KISIM,40202,61,7,27,39,42,14
105,BAKIRKÖY,ATAKÖY 2-5-6. KISIM,40194,123,8,93,108,74,42
106,BAKIRKÖY,ATAKÖY 3-4-11. KISIM,40201,156,93,11,82,170,8
107,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,40196,3,426,107,239,226,71
108,BAKIRKÖY,BASINKÖY,40200,184,358,108,614,36,0
109,BAKIRKÖY,CEVÝZLÝK,40192,332,259,110,198,501,2
110,BAKIRKÖY,KARTALTEPE,40197,775,641,57,414,1056,3
111,BAKIRKÖY,OSMANÝYE,40188,339,363,290,512,470,10
112,BAKIRKÖY,SAKIZAÐACI,40191,300,143,29,77,385,10
113,BAKIRKÖY,ÞENLÝKKÖY,40199,357,1134,320,1644,166,1
114,BAKIRKÖY,YENÝMAHALLE,40190,319,126,48,134,359,0
115,BAKIRKÖY,YEÞÝLKÖY,40189,894,848,590,1755,554,23
116,BAKIRKÖY,YEÞÝLYURT,40195,179,97,32,134,173,1
117,BAKIRKÖY,ZEYTÝNLÝK,40193,203,270,101,143,430,1
118,BAKIRKÖY,ZUHURATBABA,40198,644,319,66,279,746,4
119,BAÞAKÞEHÝR,ALTINÞEHÝR,40598,96,968,332,1256,140,0
120,BAÞAKÞEHÝR,BAHÇEÞEHÝR 1. KISIM,40871,0,699,1478,1837,176,164
121,BAÞAKÞEHÝR,BAHÇEÞEHÝR 2. KISIM,40872,1,1130,1664,2101,141,553
122,BAÞAKÞEHÝR,BAÞAK,40357,1,644,793,792,208,438
123,BAÞAKÞEHÝR,BAÞAKÞEHÝR,40581,0,136,658,187,208,399
124,BAÞAKÞEHÝR,GÜVERCÝNTEPE,40597,110,3440,903,3784,640,29
125,BAÞAKÞEHÝR,KAYABAÞI,40583,206,425,969,872,121,607
126,BAÞAKÞEHÝR,ÞAHÝNTEPE,40584,95,3785,959,4624,202,13
127,BAÞAKÞEHÝR,ÞAMLAR,191991,9,347,103,440,19,0
128,BAÞAKÞEHÝR,ZÝYA GÖKALP,40585,296,2046,3498,5283,474,83
129,BAYRAMPAÞA,ALTINTEPSÝ,40207,679,1206,353,1073,1161,4
130,BAYRAMPAÞA,CEVATPAÞA,40203,351,733,116,648,552,0
131,BAYRAMPAÞA,ÝSMET PAÞA,40209,555,489,166,568,611,31
132,BAYRAMPAÞA,KARTALTEPE,40211,1256,1408,257,1286,1631,4
133,BAYRAMPAÞA,KOCATEPE,40212,235,784,218,509,702,26
134,BAYRAMPAÞA,MURATPAÞA,40213,1285,1342,212,1551,1287,1
135,BAYRAMPAÞA,ORTAMAHALLE,40204,635,763,132,870,659,1
136,BAYRAMPAÞA,TERAZÝDERE,40206,532,834,114,771,709,0
137,BAYRAMPAÞA,VATAN,40205,541,398,142,712,368,1
138,BAYRAMPAÞA,YENÝDOÐAN,40208,687,762,154,804,793,6
139,BAYRAMPAÞA,YILDIRIM,40210,1539,1521,553,1865,1745,3
140,BEÞÝKTAÞ,ABBASAÐA,40219,217,169,101,166,319,2
141,BEÞÝKTAÞ,AKAT,40234,398,597,291,954,294,38
142,BEÞÝKTAÞ,ARNAVUTKÖY,40231,611,295,196,997,105,0
143,BEÞÝKTAÞ,BALMUMCU,40223,145,144,61,289,48,13
144,BEÞÝKTAÞ,BEBEK,40232,477,266,170,743,169,1
145,BEÞÝKTAÞ,CÝHANNÜMA,40217,209,141,88,173,260,5
146,BEÞÝKTAÞ,DÝKÝLÝTAÞ,40221,288,243,170,113,529,59
147,BEÞÝKTAÞ,ETÝLER,40233,438,189,173,524,261,15
148,BEÞÝKTAÞ,GAYRETTEPE,40222,227,169,111,137,239,131
149,BEÞÝKTAÞ,KONAKLAR,40236,217,231,181,278,319,32
150,BEÞÝKTAÞ,KURUÇEÞME,40228,437,147,132,667,49,0
151,BEÞÝKTAÞ,KÜLTÜR,40229,172,141,117,286,138,6
152,BEÞÝKTAÞ,LEVAZIM,40226,38,118,64,59,148,13
153,BEÞÝKTAÞ,LEVENT,40235,798,158,416,1337,24,11
154,BEÞÝKTAÞ,MECÝDÝYE,40224,546,320,216,673,409,0
155,BEÞÝKTAÞ,MURADÝYE,40216,141,139,34,15,293,6
156,BEÞÝKTAÞ,NÝSBETÝYE,40230,201,271,114,123,426,37
157,BEÞÝKTAÞ,ORTAKÖY,40225,474,273,284,727,303,1
158,BEÞÝKTAÞ,SÝNANPAÞA,40215,189,187,147,289,233,1
159,BEÞÝKTAÞ,TÜRKALÝ,40218,395,212,102,190,512,7
160,BEÞÝKTAÞ,ULUS,40227,130,288,72,256,234,0
161,BEÞÝKTAÞ,VÝÞNEZADE,40214,254,273,146,338,317,18
162,BEÞÝKTAÞ,YILDIZ,40220,270,224,184,375,295,8
163,BEYKOZ,ACARLAR,40250,3,1846,391,1977,262,1
164,BEYKOZ,AKBABA,191701,298,210,188,682,14,0
165,BEYKOZ,ALÝBAHADIR,191703,22,151,130,302,1,0
166,BEYKOZ,ANADOLU FENERÝ,191705,42,73,301,414,2,0
167,BEYKOZ,ANADOLU HÝSARI,40243,362,163,138,619,44,0
168,BEYKOZ,ANADOLU KAVAÐI,40256,93,163,153,402,7,0
169,BEYKOZ,BAKLACI,40257,21,0,1024,1034,11,0
170,BEYKOZ,BOZHANE,191725,47,82,149,278,0,0
171,BEYKOZ,CUMHURÝYET,191727,205,194,283,679,3,0
172,BEYKOZ,ÇAMLIBAHÇE,40253,699,255,115,1042,27,0
173,BEYKOZ,ÇENGELDERE,40258,26,3,1161,1159,31,0
174,BEYKOZ,ÇÝFTLÝK,40259,31,0,1074,1079,26,0
175,BEYKOZ,ÇÝÐDEM,40240,962,752,177,1793,98,0
176,BEYKOZ,ÇUBUKLU,40241,1414,1493,428,3110,224,1
177,BEYKOZ,DERESEKÝ,191709,130,222,370,718,4,0
178,BEYKOZ,ELMALI,191711,92,501,310,880,23,0
179,BEYKOZ,FATÝH,40260,17,0,602,583,36,0
180,BEYKOZ,GÖKSU,40244,354,126,125,580,25,0
181,BEYKOZ,GÖLLÜ,191729,20,36,91,147,0,0
182,BEYKOZ,GÖRELE,191713,30,412,213,650,5,0
183,BEYKOZ,GÖZTEPE,40246,189,294,557,904,135,1
184,BEYKOZ,GÜMÜÞSUYU,40237,1354,1211,586,3087,64,0
185,BEYKOZ,ÝNCÝRKÖY,40238,2043,775,419,3124,113,0
186,BEYKOZ,ÝSHAKLI,191731,64,213,379,655,1,0
187,BEYKOZ,KANLICA,40242,387,206,150,658,84,1
188,BEYKOZ,KAVACIK,40247,959,667,363,1296,606,87
189,BEYKOZ,KAYNARCA,191715,3,124,91,218,0,0
190,BEYKOZ,KILIÇLI,191733,0,39,293,331,1,0
191,BEYKOZ,MAHMUTÞEVKETPAÞA,191723,213,254,267,727,7,0
192,BEYKOZ,MERKEZ,40251,712,291,209,1147,64,1
193,BEYKOZ,ORTAÇEÞME,40254,594,705,249,1517,31,0
194,BEYKOZ,ÖÐÜMCE,191735,81,161,110,352,0,0
195,BEYKOZ,ÖRNEKKÖY,191721,20,676,358,1044,10,0
196,BEYKOZ,PAÞABAHÇE,40239,474,166,101,694,47,0
197,BEYKOZ,PAÞAMANDIRA,191737,50,269,240,559,0,0
198,BEYKOZ,POLONEZKÖY,191717,105,155,212,469,3,0
199,BEYKOZ,POYRAZKÖY,16634,89,12,205,300,6,0
200,BEYKOZ,RÝVA,191707,8,64,1305,1367,9,1
201,BEYKOZ,RÜZGARLIBAHÇE,40248,536,826,342,1618,58,28
202,BEYKOZ,SOÐUKSU,40249,378,925,259,1470,92,0
203,BEYKOZ,TOKATKÖY,40255,995,1366,411,2688,84,0
204,BEYKOZ,YALIKÖY,40252,740,346,242,1295,33,0
205,BEYKOZ,YAVUZ SELÝM,40261,30,18,1363,1392,19,0
206,BEYKOZ,YENÝ MAHALLE,40245,1046,1750,648,3366,78,0
207,BEYKOZ,ZERZAVATÇI,191739,43,157,86,284,2,0
208,BEYLÝKDÜZÜ,ADNAN KAHVECÝ,40869,0,505,1113,583,490,545
209,BEYLÝKDÜZÜ,BARIÞ,40875,0,303,499,368,56,378
210,BEYLÝKDÜZÜ,BÜYÜKÞEHÝR,40877,0,107,132,51,15,173
211,BEYLÝKDÜZÜ,CUMHURÝYET,40874,0,224,126,91,14,245
212,BEYLÝKDÜZÜ,DEREAÐZI,40870,0,1134,1027,1960,192,9
213,BEYLÝKDÜZÜ,GÜRPINAR,40867,0,953,510,1220,191,52
214,BEYLÝKDÜZÜ,KAVAKLI,40873,0,624,920,997,421,126
215,BEYLÝKDÜZÜ,MARMARA,40893,4,336,657,722,89,186
216,BEYLÝKDÜZÜ,SAHÝL,40876,0,369,277,540,84,22
217,BEYLÝKDÜZÜ,YAKUPLU,40894,37,1666,1230,1522,1369,42
218,BEYOÐLU,ARAP CAMÝ,40299,347,139,2,332,125,31
219,BEYOÐLU,ASMALI MESCÝT,40281,156,107,77,47,276,17
220,BEYOÐLU,BEDRETTÝN,40300,199,46,6,231,20,0
221,BEYOÐLU,BEREKETZADE,40298,163,124,11,95,193,10
222,BEYOÐLU,BOSTAN,40291,317,112,8,324,112,1
223,BEYOÐLU,BÜLBÜL,40292,510,216,16,575,166,1
224,BEYOÐLU,CAMÝÝKEBÝR,40301,458,204,8,489,179,2
225,BEYOÐLU,CÝHANGÝR,40275,237,157,83,113,349,15
226,BEYOÐLU,ÇATMA MESCÝT,40283,174,92,1,135,124,8
227,BEYOÐLU,ÇUKUR,40293,331,56,7,243,144,7
228,BEYOÐLU,EMEKYEMEZ,40269,169,156,14,144,181,14
229,BEYOÐLU,EVLÝYA ÇELEBÝ,40282,80,23,6,24,72,13
230,BEYOÐLU,FETÝHTEPE,40262,1188,330,135,1164,487,2
231,BEYOÐLU,FÝRUZAÐA,40276,337,126,58,260,260,1
232,BEYOÐLU,GÜMÜÞSUYU,40278,225,119,28,116,223,33
233,BEYOÐLU,HACIAHMET,40280,522,502,60,629,446,9
234,BEYOÐLU,HACIMÝMÝ,40285,215,116,22,188,159,6
235,BEYOÐLU,HALICIOÐLU,40304,336,214,91,229,407,5
236,BEYOÐLU,HÜSEYÝNAÐA,40272,169,74,44,76,204,7
237,BEYOÐLU,ÝSTÝKLAL,40279,826,242,83,1107,30,14
238,BEYOÐLU,KADI MEHMET EFENDÝ,40267,254,171,102,178,347,2
239,BEYOÐLU,KALYONCU KULLUÐU,40270,331,79,8,217,200,1
240,BEYOÐLU,KAMER HATUN,40271,202,37,9,132,113,3
241,BEYOÐLU,KAPTANPAÞA,40264,578,520,202,764,535,1
242,BEYOÐLU,KATÝPMUSTAFA ÇELEBÝ,40274,177,95,93,93,265,7
243,BEYOÐLU,KEÇECÝ PÝRÝ,40302,879,521,86,1071,415,0
244,BEYOÐLU,KEMANKEÞ KARAMUSTAFAPAÞA,40297,232,82,0,128,184,2
245,BEYOÐLU,KILIÇALÝ PAÞA,40296,221,104,15,116,202,22
246,BEYOÐLU,KOCATEPE,40277,364,170,50,255,276,53
247,BEYOÐLU,KULAKSIZ,40266,279,181,35,217,277,1
248,BEYOÐLU,KULOÐLU,40288,243,106,49,117,279,2
249,BEYOÐLU,KÜÇÜK PÝYALE,40268,325,240,48,343,266,4
250,BEYOÐLU,MÜEYYETZADE,40286,150,120,19,138,144,7
251,BEYOÐLU,ÖMER AVNÝ,40294,230,92,6,98,224,6
252,BEYOÐLU,ÖRNEKTEPE,40305,775,192,218,936,236,13
253,BEYOÐLU,PÝRÝPAÞA,40303,882,417,136,1060,374,1
254,BEYOÐLU,PÝYALEPAÞA,40263,1554,570,12,1381,755,0
255,BEYOÐLU,PÜRTELAÞ HASAN EFENDÝ,40295,159,101,20,98,170,12
256,BEYOÐLU,SURURÝ MEHMET EFENDÝ,40289,365,105,5,359,114,2
257,BEYOÐLU,SÜTLÜCE,40306,417,160,213,433,348,9
258,BEYOÐLU,ÞAHKULU,40284,202,87,56,130,211,4
259,BEYOÐLU,ÞEHÝT MUHTAR,40273,420,143,40,227,354,22
260,BEYOÐLU,TOMTOM,40287,260,107,53,186,227,7
261,BEYOÐLU,YAHYA KAHYA,40290,311,114,7,308,124,0
262,BEYOÐLU,YENÝÞEHÝR,40265,283,271,101,458,195,2
263,BÜYÜKÇEKMECE,19.May,40850,83,260,279,434,187,1
264,BÜYÜKÇEKMECE,AHMEDÝYE,40891,1,242,71,311,2,1
265,BÜYÜKÇEKMECE,ALKENT 2000,40844,0,521,968,1456,13,20
266,BÜYÜKÇEKMECE,ATATÜRK,40845,63,738,395,787,409,0
267,BÜYÜKÇEKMECE,BAHÇELÝEVLER,40882,0,1106,787,1881,12,0
268,BÜYÜKÇEKMECE,CELALÝYE,40928,0,115,1886,1894,107,0
269,BÜYÜKÇEKMECE,CUMHURÝYET,40846,3,388,444,719,95,21
270,BÜYÜKÇEKMECE,ÇAKMAKLI,99334,0,279,215,469,12,13
271,BÜYÜKÇEKMECE,DÝZDARÝYE,40847,152,167,229,344,204,0
272,BÜYÜKÇEKMECE,EKÝNOBA,40886,1,280,240,343,130,48
273,BÜYÜKÇEKMECE,FATÝH,40848,145,637,475,862,392,3
274,BÜYÜKÇEKMECE,GÜZELCE,40883,0,1283,1236,2499,14,6
275,BÜYÜKÇEKMECE,HÜRRÝYET,40889,176,910,650,1463,273,0
276,BÜYÜKÇEKMECE,KAMÝLOBA,40929,0,52,2090,1943,196,3
277,BÜYÜKÇEKMECE,KARAAÐAÇ,40849,0,273,1511,1780,4,0
278,BÜYÜKÇEKMECE,KUMBURGAZ,40884,0,954,556,1406,104,0
279,BÜYÜKÇEKMECE,MÝMAR SÝNAN MERKEZ,40887,298,539,493,1106,204,20
280,BÜYÜKÇEKMECE,MÝMAROBA,140376,0,402,316,340,271,107
281,BÜYÜKÇEKMECE,MURAT ÇEÞME,40888,9,593,483,878,188,19
282,BÜYÜKÇEKMECE,PINARTEPE,40868,1,611,768,1031,343,6
283,BÜYÜKÇEKMECE,SÝNANOBA,140374,0,639,452,857,130,104
284,BÜYÜKÇEKMECE,TÜRKOBA,40892,45,1404,1197,2576,39,31
285,BÜYÜKÇEKMECE,ULUS,40890,326,738,470,1325,209,0
286,BÜYÜKÇEKMECE,YENÝMAHALLE,40885,0,491,207,667,31,0
287,ÇATALCA,AKALAN,191781,0,337,72,409,0,0
288,ÇATALCA,ATATÜRK,40903,90,245,310,642,3,0
289,ÇATALCA,AYDINLAR,191783,254,169,199,620,2,0
290,ÇATALCA,BAHÞAYÝÞ,40902,0,6,198,204,0,0
291,ÇATALCA,BAÞAK,191821,68,56,86,210,0,0
292,ÇATALCA,BELGRAT,191823,0,16,215,231,0,0
293,ÇATALCA,CELEPKÖY,191825,0,2,156,158,0,0
294,ÇATALCA,ÇAKIL,40899,100,660,946,1706,0,0
295,ÇATALCA,ÇANAKÇA,191785,81,365,726,1168,4,0
296,ÇATALCA,ÇÝFTLÝKKÖY,40917,145,193,506,842,2,0
297,ÇATALCA,DAÐYENÝCE,191787,43,136,210,389,0,0
298,ÇATALCA,ELBASAN,191789,0,190,291,481,0,0
299,ÇATALCA,FATÝH,40904,184,262,428,873,1,0
300,ÇATALCA,FERHATPAÞA,40897,45,813,1462,1788,532,0
301,ÇATALCA,GÖKÇEALÝ,191791,0,409,312,720,0,1
302,ÇATALCA,GÜMÜÞPINAR,191793,0,277,120,396,1,0
303,ÇATALCA,HALLAÇLI,191795,0,434,392,826,0,0
304,ÇATALCA,HÝSARBEYLÝ,191827,0,6,169,175,0,0
305,ÇATALCA,ÝHSANÝYE,191797,226,354,172,742,10,0
306,ÇATALCA,ÝNCEÐÝZ,191799,0,416,245,661,0,0
307,ÇATALCA,ÝZZETTÝN,40900,0,243,703,944,2,0
308,ÇATALCA,KABAKÇA,191801,153,677,461,1291,0,0
309,ÇATALCA,KALEÝÇÝ,40898,71,880,1051,1920,82,0
310,ÇATALCA,KALFA,191803,87,142,173,402,0,0
311,ÇATALCA,KARACAKÖY MERKEZ,40916,0,25,1009,1032,2,0
312,ÇATALCA,KARAMANDERE,191829,12,11,326,348,1,0
313,ÇATALCA,KESTANELÝK,191805,57,412,402,861,10,0
